season,matchweek,fixture,home_team,away_team,home_formation,home_xi,home_subs_used,away_formation,away_xi,away_subs_used,home_possession,away_possession,home_xg,away_xg,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_saves,away_saves,home_shots_inside_the_box,away_shots_inside_the_box,home_hit_woodwork,away_hit_woodwork,home_big_chances_created,away_big_chances_created,home_total_crosses_completed,away_total_crosses_completed,home_shots_off_target,away_shots_off_target,home_shots_outside_the_box,away_shots_outside_the_box,home_total_passes,away_total_passes,home_long_passes_completed,away_long_passes_completed,home_through_balls,away_through_balls,home_touches,away_touches,home_touches_in_the_opposition_box,away_touches_in_the_opposition_box,home_tackles_won,away_tackles_won,home_blocks,away_blocks,home_interceptions,away_interceptions,home_clearances,away_clearances,home_total_dribbles,away_total_dribbles,home_successful_dribbles,away_successful_dribbles,home_duels_won,away_duels_won,home_aerial_duels_won,away_aerial_duels_won,home_distance_covered,away_distance_covered,home_red_cards,away_red_cards,home_yellow_cards,away_yellow_cards,home_fouls,away_fouls,home_offsides,away_offsides,recap_url,stats_url,recap_text,motm,motm_position,recap_sentiment_compound,recap_sentiment_pos,recap_sentiment_neg,recap_sentiment_neu,fixture_url,home_big_chances,away_big_chances
2025,1,Liverpool vs AFC Bournemouth,Liverpool,Bournemouth,4-2-3-1,Alisson Ramsés Becker; Jeremie Frimpong; Ibrahima Konaté; Virgil van Dijk; Milos Kerkez; Dominik Szoboszlai; Alexis Mac Allister; Mohamed Salah Hamed Mahrous Ghaly; Florian Wirtz; Cody Gakpo; Hugo Ekitiké,Joe Gomez (72'); Wataru Endo (60'); Federico Chiesa (82'); Curtis Jones (72'); Andy Robertson (60'),4-1-4-1,Djordje Petrovic; Adam Smith; Bafodé Diakité; Marcos Senesi; Adrien Truffert; Tyler Adams; Antoine Semenyo; Alex Scott; Marcus Tavernier; David Brooks; Francisco Evanilson de Lima Barbosa,Eli Kroupi (91'); James Hill (90'); Hamed Traoré (74'); Ben Winterburn (84'),61.2%,38.8%,2.21,1.7,19,10,10,3,6,7,1,6,4,1,0,0,3,3,17 (29%),20 (25%),7,4,4,2,489 (82%),299 (70%),51 (57%),70 (34%),3 (0%),0 (0%),713,519,36,28,13 (81%),12 (60%),5,5,4,11,41,45,17,19,8,8,63,52,29,18,110.62km,110.19km,0,0,1,2,7,10,2,2,https://www.premierleague.com/en/match/2561895/liverpool-vs-bournemouth?tab=recap,https://www.premierleague.com/en/match/2561895/liverpool-vs-bournemouth?tab=stats,"Late goals from Federico Chiesa and Mohamed Salah gave champions Liverpool a dramatic 4-2 victory over AFC Bournemouth as the 2025/26 Premier League campaign got off to a thrilling start at Anfield. Hugo Ekitike had a goal and an assist in an impressive Premier League debut to put Arne Slot's team in control, with the forward netting a first-half opener before teeing up Cody Gakpo shortly after the interval. Late goals from Federico Chiesa and Mohamed Salah gave champions Liverpool a dramatic 4-2 victory over AFC Bournemouth as the 2025/26 Premier League campaign got off to a thrilling start at Anfield. Hugo Ekitike had a goal and an assist in an impressive Premier League debut to put Arne Slot's team in control, with the forward netting a first-half opener before teeing up Cody Gakpo shortly after the interval. Late goals from Federico Chiesa and Mohamed Salah gave champions Liverpool a dramatic 4-2 victory over AFC Bournemouth as the 2025/26 Premier League campaign got off to a thrilling start at Anfield. Hugo Ekitike had a goal and an assist in an impressive Premier League debut to put Arne Slot's team in control, with the forward netting a first-half opener before teeing up Cody Gakpo shortly after the interval.",Hugo Ekitiké,Forward,0.9825,0.136,0.0,0.864,https://www.premierleague.com/en/match/2561895/liverpool-vs-bournemouth,1,1
2025,1,Aston Villa vs Newcastle United,Aston Villa,Newcastle,4-2-3-1,Marco Bizot; Matty Cash; Ezri Konsa; Tyrone Mings; Lucas Digne; Boubacar Kamara; Amadou Onana; John McGinn; Youri Tielemans; Morgan Rogers; Ollie Watkins,Donyell Malen (84'),4-3-3,Nick Pope; Kieran Trippier; Fabian Schär; Dan Burn; Tino Livramento; Bruno Guimarães Rodriguez Moura; Sandro Tonali; Joelinton Cássio Apolinário de Lira; Anthony Elanga; Anthony Gordon; Harvey Barnes,William Osula (90'); Jacob Murphy (78'); Lewis Miley (83'),39.9%,60.1%,0.2,1.43,3,16,3,3,3,6,3,3,3,1,0,0,1,2,11 (27%),26 (23%),0,6,0,7,310 (73%),451 (83%),59 (29%),43 (49%),4 (0%),4 (25%),472,634,14,33,5 (45%),8 (80%),7,7,10,12,20,22,15,10,9,2,40,43,10,20,103.82km,108.53km,1,0,1,1,13,11,2,1,https://www.premierleague.com/en/match/2561896/aston-villa-vs-newcastle-united?tab=recap,https://www.premierleague.com/en/match/2561896/aston-villa-vs-newcastle-united?tab=stats,"Newcastle United were unable to capitalise on Ezri Konsa’s red card as they were held to a 0-0 draw by Aston Villa. Missing striker Alexander Isak, who was omitted from the matchday squad amid speculation over his future at the club, Newcastle had the better of the chances at Villa Park on Saturday, with Anthony Elanga passing up a golden opportunity early on. Newcastle United were unable to capitalise on Ezri Konsa’s red card as they were held to a 0-0 draw by Aston Villa. Missing striker Alexander Isak, who was omitted from the matchday squad amid speculation over his future at the club, Newcastle had the better of the chances at Villa Park on Saturday, with Anthony Elanga passing up a golden opportunity early on. Newcastle United were unable to capitalise on Ezri Konsa’s red card as they were held to a 0-0 draw by Aston Villa. Missing striker Alexander Isak, who was omitted from the matchday squad amid speculation over his future at the club, Newcastle had the better of the chances at Villa Park on Saturday, with Anthony Elanga passing up a golden opportunity early on.",Marco Bizot,Goalkeeper,0.9694,0.15,0.032,0.818,https://www.premierleague.com/en/match/2561896/aston-villa-vs-newcastle-united,,
2025,1,Brighton and Hove Albion vs Fulham,Brighton,Fulham,4-2-3-1,Bart Verbruggen; Mats Wieffer; Jan Paul van Hecke; Lewis Dunk; Maxim De Cuyper; Carlos Baleba; Yasin Ayari; Yankuba Minteh; Matt O'Riley; Kaoru Mitoma; Georginio Rutter,Brajan Gruda (83'); Danny Welbeck (69'); James Milner (88'); Ferdi Kadioglu (69'); Diego Gómez (69'),4-2-3-1,Bernd Leno; Kenny Tete; Joachim Andersen; Jorge Cuenca; Calvin Bassey; Sasa Lukic; Sander Berge; Harry Wilson; Josh King; Alex Iwobi; Raúl Jiménez,Rodrigo Muniz (66'); Tom Cairney (66'); Adama Traoré (66'); Timothy Castagne (84'); Emile Smith Rowe (77'),49.8%,50.2%,1.48,0.76,10,7,4,2,4,3,1,3,1,1,0,0,1,0,11 (36%),14 (21%),5,4,4,2,427 (88%),423 (83%),50 (56%),53 (55%),1 (0%),0 (0%),604,583,25,19,9 (47%),8 (53%),2,2,9,2,27,15,11,13,4,5,51,44,14,10,110.29km,107.23km,0,0,3,3,16,15,3,2,https://www.premierleague.com/en/match/2561897/brighton-and-hove-albion-vs-fulham?tab=recap,https://www.premierleague.com/en/match/2561897/brighton-and-hove-albion-vs-fulham?tab=stats,"Rodrigo Muniz scored six minutes into second-half stoppage time as Fulham salvaged a dramatic 1-1 draw against Brighton & Hove Albion in their opening game of the 2025/26 Premier League season. Muniz, who has been linked with a move away from Craven Cottage, netted from Fulham's final attack after they had struggled to muster a threat at the American Express Stadium. Rodrigo Muniz scored six minutes into second-half stoppage time as Fulham salvaged a dramatic 1-1 draw against Brighton & Hove Albion in their opening game of the 2025/26 Premier League season. Muniz, who has been linked with a move away from Craven Cottage, netted from Fulham's final attack after they had struggled to muster a threat at the American Express Stadium. Rodrigo Muniz scored six minutes into second-half stoppage time as Fulham salvaged a dramatic 1-1 draw against Brighton & Hove Albion in their opening game of the 2025/26 Premier League season. Muniz, who has been linked with a move away from Craven Cottage, netted from Fulham's final attack after they had struggled to muster a threat at the American Express Stadium.",Matt O'Riley,Midfielder,-0.9769,0.0,0.141,0.859,https://www.premierleague.com/en/match/2561897/brighton-and-hove-albion-vs-fulham,1,1
2025,1,Sunderland vs West Ham United,Sunderland,West Ham,4-3-3,Robin Roefs; Trai Hume; Dan Ballard; Jenson Seelt; Reinildo Isnard Mandava; Habib Diarra; Granit Xhaka; Noah Sadiki; Chemsdine Talbi; Eliezer Mayenda; Simon Adingra,Chris Rigg (93'); Omar Alderete (53'); Wilson Isidor (76'); Enzo Le Fée (76'),3-4-1-2,Mads Hermansen; Jean-Clair Todibo; Maximilian Kilman; Nayef Aguerd; Aaron Wan-Bissaka; James Ward-Prowse; Guido Rodríguez; El Hadji Malick Diouf; Lucas Tolentino Coelho de Lima; Jarrod Bowen; Niclas Füllkrug,Callum Wilson (71'); Tomás Soucek (71'); Andy Irving (82'),37.2%,62.8%,0.75,0.56,10,12,5,4,5,7,4,2,2,4,0,0,1,0,17 (29%),26 (19%),4,2,1,5,323 (77%),550 (85%),55 (33%),59 (44%),0 (0%),1 (0%),497,731,15,28,5 (36%),7 (58%),7,8,9,4,32,16,7,15,1,7,42,46,18,19,105.33km,103.45km,0,0,0,1,8,10,,,https://www.premierleague.com/en/match/2561899/sunderland-vs-west-ham-united?tab=recap,https://www.premierleague.com/en/match/2561899/sunderland-vs-west-ham-united?tab=stats,"Sunderland marked their Premier League return in style with a 3-0 victory over West Ham United at the Stadium of Light. Cheered on by a jubilant crowd, the Black Cats ensured their first game back in the top flight after an eight-year absence was a memorable one with a sensational second-half showing. Sunderland marked their Premier League return in style with a 3-0 victory over West Ham United at the Stadium of Light. Cheered on by a jubilant crowd, the Black Cats ensured their first game back in the top flight after an eight-year absence was a memorable one with a sensational second-half showing. Sunderland marked their Premier League return in style with a 3-0 victory over West Ham United at the Stadium of Light. Cheered on by a jubilant crowd, the Black Cats ensured their first game back in the top flight after an eight-year absence was a memorable one with a sensational second-half showing.",Dan Ballard,Defender,0.9869,0.213,0.0,0.787,https://www.premierleague.com/en/match/2561899/sunderland-vs-west-ham-united,,
2025,1,Tottenham Hotspur vs Burnley,Spurs,Burnley,4-3-3,Guglielmo Vicario; Pedro Porro; Cristian Romero; Micky van de Ven; Djed Spence; Pape Matar Sarr; Archie Gray; Lucas Bergvall; Mohammed Kudus; Richarlison de Andrade; Brennan Johnson,João Palhinha (80'); Mathys Tel (85'); Dominic Solanke (71'); Wilson Odobert (80'); Rodrigo Bentancur (71'),5-4-1,Martin Dúbravka; Oliver Sonne; Kyle Walker; Hjalmar Ekdal; Maxime Estève; Quilindschy Hartman; Hannibal Mejbri; Josh Laurent; Josh Cullen; Jaidon Anthony; Lyle Foster,Jacob Bruun Larsen (63'); Lesley Ugochukwu (63'); Marcus Edwards (85'); Loum Tchaouna (74'); Zian Flemming (74'),67.3%,32.7%,2.32,0.94,16,14,6,4,6,5,4,3,3,2,0,0,1,1,27 (30%),14 (21%),9,7,4,7,511 (88%),246 (74%),42 (48%),45 (40%),1 (100%),1 (100%),676,410,26,25,9 (75%),2 (33%),3,4,1,7,26,25,14,10,11,7,47,45,17,18,106.45km,107.51km,0,0,0,0,14,8,0,4,https://www.premierleague.com/en/match/2561900/tottenham-hotspur-vs-burnley?tab=recap,https://www.premierleague.com/en/match/2561900/tottenham-hotspur-vs-burnley?tab=stats,Richarlison scored a spectacular scissor kick to help Thomas Frank win his first Premier League match in charge of Tottenham Hotspur 3-0 against Burnley. Richarlison and Mohammed Kudus put on a show in Spurs’ opener as the pair combined for the first two goals. Richarlison scored a spectacular scissor kick to help Thomas Frank win his first Premier League match in charge of Tottenham Hotspur 3-0 against Burnley. Richarlison and Mohammed Kudus put on a show in Spurs’ opener as the pair combined for the first two goals. Richarlison scored a spectacular scissor kick to help Thomas Frank win his first Premier League match in charge of Tottenham Hotspur 3-0 against Burnley. Richarlison and Mohammed Kudus put on a show in Spurs’ opener as the pair combined for the first two goals.,Mohammed Kudus,Forward,0.9612,0.14,0.0,0.86,https://www.premierleague.com/en/match/2561900/tottenham-hotspur-vs-burnley,1,0
2025,1,Wolverhampton Wanderers vs Manchester City,Wolves,Man City,3-4-3,José Pedro Malheiro de Sá; Matt Doherty; Emmanuel Agbadou; Tote António Gomes; Ki-Jana Hoever; André Trindade da Costa Neto; João Victor Gomes da Silva; David Møller Wolfe; Marshall Munetsi; Jørgen Strand Larsen; Jean-Ricner Bellegarde,Hugo Bueno (72'); Jhon Arias (73'); Hwang Hee-Chan (82'); Rodrigo Gomes (73'); Fer López (72'),4-3-3,James Trafford; Rico Lewis; John Stones; Rúben dos Santos Gato Alves Dias; Rayan Aït-Nouri; Tijjani Reijnders; Nico González; Bernardo Mota Veiga de Carvalho e Silva; Oscar Bobb; Erling Haaland; Jérémy Doku,Omar Marmoush (66'); Rayan Cherki (73'); Matheus Nunes (66'); Nico O'Reilly (66'); Abdukodir Khusanov (82'),41.6%,58.4%,0.56,2.47,9,15,3,4,4,5,0,3,3,0,0,0,0,3,20 (20%),20 (30%),3,7,3,7,394 (83%),563 (91%),48 (50%),30 (43%),1 (100%),1 (100%),576,765,19,28,17 (68%),11 (61%),7,7,6,7,20,22,9,25,5,14,42,55,5,10,107.38km,117.07km,0,0,1,2,13,7,4,0,https://www.premierleague.com/en/match/2561901/wolverhampton-wanderers-vs-manchester-city?tab=recap,https://www.premierleague.com/en/match/2561901/wolverhampton-wanderers-vs-manchester-city?tab=stats,"Tijjani Reijnders and Rayan Cherki scored on their Premier League debuts as Manchester City thrashed Wolverhampton Wanderers 4-0 at Molineux to kickstart their 2025/26 campaign. Erling Haaland maintained his perfect goalscoring record in Premier League Matchweek 1 fixtures with a 34th-minute tap-in, then made it a brace just after the hour. Tijjani Reijnders and Rayan Cherki scored on their Premier League debuts as Manchester City thrashed Wolverhampton Wanderers 4-0 at Molineux to kickstart their 2025/26 campaign. Erling Haaland maintained his perfect goalscoring record in Premier League Matchweek 1 fixtures with a 34th-minute tap-in, then made it a brace just after the hour. Tijjani Reijnders and Rayan Cherki scored on their Premier League debuts as Manchester City thrashed Wolverhampton Wanderers 4-0 at Molineux to kickstart their 2025/26 campaign. Erling Haaland maintained his perfect goalscoring record in Premier League Matchweek 1 fixtures with a 34th-minute tap-in, then made it a brace just after the hour.",Tijjani Reijnders,Midfielder,0.9022,0.073,0.0,0.927,https://www.premierleague.com/en/match/2561901/wolverhampton-wanderers-vs-manchester-city,0,1
2025,1,Chelsea vs Crystal Palace,Chelsea,Crystal Palace,4-2-3-1,Robert Sánchez; Reece James; Josh Acheampong; Trevoh Chalobah; Marc Cucurella; Enzo Fernández; Moisés Caicedo; Pedro Lomba Neto; Cole Palmer; Jamie Gittens; João Pedro Junqueira de Jesus,Liam Delap (73'); Andrey Santos (79'); Malo Gusto (79'); Estêvão (54'),3-4-2-1,Dean Henderson; Chris Richards; Maxence Lacroix; Marc Guéhi; Daniel Muñoz; Adam Wharton; Will Hughes; Tyrick Mitchell; Ismaïla Sarr; Eberechi Eze; Jean-Philippe Mateta,Jefferson Lerma (70'); Justin Devenny (84'),71.5%,28.5%,1.6,0.66,19,11,3,4,11,2,4,2,3,1,0,0,1,1,29 (21%),11 (9%),7,3,8,7,568 (90%),226 (74%),49 (43%),43 (42%),4 (25%),1 (0%),763,410,31,8,6 (46%),13 (81%),14,14,11,7,19,41,24,7,12,5,52,47,17,16,101.1km,105.19km,0,0,2,3,10,12,,,https://www.premierleague.com/en/match/2561902/chelsea-vs-crystal-palace?tab=recap,https://www.premierleague.com/en/match/2561902/chelsea-vs-crystal-palace?tab=stats,"A dominant Chelsea struggled to break down Crystal Palace as the spoils were shared as the London derby at Stamford Bridge ended 0-0. Enzo Maresca’s side looked like they were setting the tone when Marc Cucurella’s early header was cleared off the line, but they were unable to maintain their quick start. A dominant Chelsea struggled to break down Crystal Palace as the spoils were shared as the London derby at Stamford Bridge ended 0-0. Enzo Maresca’s side looked like they were setting the tone when Marc Cucurella’s early header was cleared off the line, but they were unable to maintain their quick start. A dominant Chelsea struggled to break down Crystal Palace as the spoils were shared as the London derby at Stamford Bridge ended 0-0. Enzo Maresca’s side looked like they were setting the tone when Marc Cucurella’s early header was cleared off the line, but they were unable to maintain their quick start.",Robert Sánchez,Goalkeeper,0.8641,0.121,0.047,0.832,https://www.premierleague.com/en/match/2561902/chelsea-vs-crystal-palace,,
2025,1,Manchester United vs Arsenal,Man Utd,Arsenal,3-4-2-1,Altay Bayindir; Leny Yoro; Matthijs de Ligt; Luke Shaw; José Diogo Dalot Teixeira; Carlos Henrique Casimiro; Bruno Miguel Borges Fernandes; Patrick Dorgu; Bryan Mbeumo; Mason Mount; Matheus Santos Carneiro da Cunha,Harry Maguire (80'); Amad Diallo (55'); Manuel Ugarte (65'); Benjamin Sesko (65'),4-3-3,David Raya; Ben White; William Saliba; Gabriel dos Santos Magalhães; Riccardo Calafiori; Martin Ødegaard; Martín Zubimendi; Declan Rice; Bukayo Saka; Viktor Gyökeres; Gabriel Teodoro Martinelli Silva,Jurriën Timber (71'); Noni Madueke (60'); Mikel Merino (83'); Kai Havertz (60'); Myles Lewis-Skelly (72'),61.1%,38.9%,1.52,1.31,22,9,7,3,3,4,2,7,5,1,2,0,,,15 (20%),11 (18%),7,3,7,4,475 (83%),294 (74%),67 (61%),49 (41%),4 (50%),2 (50%),672,499,36,20,11 (50%),10 (56%),11,11,4,4,23,30,13,25,9,9,70,53,23,16,106.37km,112.43km,0,0,1,4,10,19,1,2,https://www.premierleague.com/en/match/2561903/manchester-united-vs-arsenal?tab=recap,https://www.premierleague.com/en/match/2561903/manchester-united-vs-arsenal?tab=stats,"Riccardo Calafiori's early header proved decisive as Arsenal battled to a 1-0 win over Manchester United in their 2025/26 Premier League opener at Old Trafford on Sunday. Arsenal's mastery of corners continued as they scored from their first of the new campaign just 13 minutes in, with Calafiori aided by some suspect goalkeeping from Altay Bayindir. Riccardo Calafiori's early header proved decisive as Arsenal battled to a 1-0 win over Manchester United in their 2025/26 Premier League opener at Old Trafford on Sunday. Arsenal's mastery of corners continued as they scored from their first of the new campaign just 13 minutes in, with Calafiori aided by some suspect goalkeeping from Altay Bayindir. Riccardo Calafiori's early header proved decisive as Arsenal battled to a 1-0 win over Manchester United in their 2025/26 Premier League opener at Old Trafford on Sunday. Arsenal's mastery of corners continued as they scored from their first of the new campaign just 13 minutes in, with Calafiori aided by some suspect goalkeeping from Altay Bayindir.",David Raya,Goalkeeper,0.9231,0.135,0.07,0.795,https://www.premierleague.com/en/match/2561903/manchester-united-vs-arsenal,0,1
