Team,Player,Direction,Age,Position,Market Value,Left/Joined,Club that left/joined,Fee
Arsenal FCArray,Martín Zubimendi,In,26,Defensive Midfield,€60.00m,Left,Real Sociedad,€70.00m
Arsenal FCArray,Eberechi Eze,In,27,Attacking Midfield,€55.00m,Left,Crystal Palace,€69.30m
Arsenal FCArray,Viktor Gyökeres,In,27,Centre-Forward,€75.00m,Left,Sporting CP,€65.80m
Arsenal FCArray,Noni Madueke,In,23,Right Winger,€40.00m,Left,Chelsea FC,€56.00m
Arsenal FCArray,Cristhian Mosquera,In,21,Centre-Back,€30.00m,Left,Valencia CF,€15.00m
Arsenal FCArray,Christian Nørgaard,In,31,Defensive Midfield,€11.00m,Left,Brentford FC,€11.60m
Arsenal FCArray,Kepa Arrizabalaga,In,30,Goalkeeper,€10.00m,Left,Chelsea FC,€5.80m
Arsenal FCArray,Piero Hincapié,In,23,Centre-Back,€50.00m,Left,Bayer 04 Leverkusen,loan transfer
Arsenal FCArray,Fábio Vieira,In,25,Attacking Midfield,€22.00m,Left,FC Porto,"End of loan Jun 30, 2025"
Arsenal FCArray,Max Dowman,In,15,Right Winger,-,Left,Arsenal FC U18,-
Arsenal FCArray,Marquinhos,In,22,Right Winger,€5.50m,Left,Cruzeiro Esporte Clube,"End of loan Jun 30, 2025"
Arsenal FCArray,Reiss Nelson,In,25,Left Winger,€16.00m,Left,Fulham FC,"End of loan Jun 30, 2025"
Arsenal FCArray,Karl Hein,In,23,Goalkeeper,€3.00m,Left,Real Valladolid CF,"End of loan Jun 30, 2025"
Arsenal FCArray,Nuno Tavares,In,25,Left-Back,€25.00m,Left,SS Lazio,"End of loan Jun 30, 2025"
Arsenal FCArray,Albert Sambi Lokonga,In,25,Central Midfield,€8.00m,Left,Sevilla FC,"End of loan Jun 30, 2025"
Arsenal FCArray,Nuno Tavares,Out,25,Left-Back,€25.00m,Joined,SS Lazio,€5.00m
Arsenal FCArray,Marquinhos,Out,22,Right Winger,€5.50m,Joined,Cruzeiro Esporte Clube,€3.00m
Arsenal FCArray,Jakub Kiwior,Out,25,Centre-Back,€28.00m,Joined,FC Porto,Loan fee: €2.00m
Arsenal FCArray,Albert Sambi Lokonga,Out,25,Central Midfield,€8.00m,Joined,Hamburger SV,€300k
Arsenal FCArray,Kieran Tierney,Out,28,Left-Back,€9.00m,Joined,Celtic FC,free transfer
Arsenal FCArray,Jorginho,Out,33,Defensive Midfield,€6.00m,Joined,CR Flamengo,free transfer
Arsenal FCArray,Thomas Partey,Out,32,Defensive Midfield,€14.00m,Joined,Villarreal CF,free transfer
Arsenal FCArray,Reiss Nelson,Out,25,Left Winger,€16.00m,Joined,Brentford FC,loan transfer
Arsenal FCArray,Karl Hein,Out,23,Goalkeeper,€3.00m,Joined,SV Werder Bremen,loan transfer
Arsenal FCArray,Fábio Vieira,Out,25,Attacking Midfield,€22.00m,Joined,Hamburger SV,loan transfer
Arsenal FCArray,Oleksandr Zinchenko,Out,28,Left-Back,€20.00m,Joined,Nottingham Forest,loan transfer
Arsenal FCArray,Takehiro Tomiyasu,Out,26,Centre-Back,€18.00m,Joined,Without Club,-
Arsenal FCArray,Raheem Sterling,Out,30,Right Winger,€10.00m,Joined,Chelsea FC,"End of loan Jun 30, 2025"
Arsenal FCArray,Neto,Out,35,Goalkeeper,€1.50m,Joined,AFC Bournemouth,"End of loan Jun 30, 2025"
Aston VillaArray,Evann Guessand,In,24,Centre-Forward,€25.00m,Left,OGC Nice,€30.00m
Aston VillaArray,Marco Bizot,In,34,Goalkeeper,€3.00m,Left,Stade Brestois 29,€500k
Aston VillaArray,Victor Lindelöf,In,31,Centre-Back,€8.00m,Left,Manchester United,free transfer
Aston VillaArray,Jadon Sancho,In,25,Left Winger,€28.00m,Left,Manchester United,loan transfer
Aston VillaArray,Harvey Elliott,In,22,Attacking Midfield,€30.00m,Left,Liverpool FC,loan transfer
Aston VillaArray,Oliwier Zych,In,21,Goalkeeper,€800k,Left,Aston Villa U21,-
Aston VillaArray,Philippe Coutinho,In,33,Attacking Midfield,€4.50m,Left,Clube de Regatas Vasco da Gama,"End of loan Jun 30, 2025"
Aston VillaArray,Samuel Iling-Junior,In,21,Left Winger,€10.00m,Left,Middlesbrough FC,"End of loan Jun 30, 2025"
Aston VillaArray,Joe Gauci,In,24,Goalkeeper,€1.50m,Left,Barnsley FC,"End of loan Jun 30, 2025"
Aston VillaArray,Emiliano Buendía,In,28,Attacking Midfield,€15.00m,Left,Bayer 04 Leverkusen,"End of loan Jun 30, 2025"
Aston VillaArray,Lewis Dobbin,In,22,Left Winger,€2.50m,Left,Norwich City,"End of loan Jun 30, 2025"
Aston VillaArray,Lewis Dobbin,In,23,Left Winger,€2.50m,Left,Preston North End,"End of loan May 31, 2026"
Aston VillaArray,Leander Dendoncker,In,30,Defensive Midfield,€4.50m,Left,RSC Anderlecht,"End of loan Jun 30, 2025"
Aston VillaArray,Enzo Barrenechea,In,24,Defensive Midfield,€10.00m,Left,Valencia CF,"End of loan Jun 30, 2025"
Aston VillaArray,Álex Moreno,In,32,Left-Back,€7.00m,Left,Nottingham Forest,"End of loan Jun 30, 2025"
Aston VillaArray,Kaine Kesler-Hayden,In,22,Right-Back,€2.50m,Left,Preston North End,"End of loan Jun 30, 2025"
Aston VillaArray,Filip Marschall,In,22,Goalkeeper,€800k,Left,Crewe Alexandra,"End of loan Jun 30, 2025"
Aston VillaArray,Jacob Ramsey,Out,24,Central Midfield,€32.00m,Joined,Newcastle United,€45.15m
Aston VillaArray,Kaine Kesler-Hayden,Out,22,Right-Back,€2.50m,Joined,Coventry City,€4.00m
Aston VillaArray,Leon Bailey,Out,28,Right Winger,€28.00m,Joined,AS Roma,Loan fee: €3.00m
Aston VillaArray,Enzo Barrenechea,Out,24,Defensive Midfield,€10.00m,Joined,SL Benfica,Loan fee: €3.00m
Aston VillaArray,Philippe Coutinho,Out,33,Attacking Midfield,€4.50m,Joined,Clube de Regatas Vasco da Gama,free transfer
Aston VillaArray,Álex Moreno,Out,32,Left-Back,€7.00m,Joined,Girona FC,free transfer
Aston VillaArray,Leander Dendoncker,Out,30,Defensive Midfield,€4.50m,Joined,Real Oviedo,free transfer
Aston VillaArray,Robin Olsen,Out,35,Goalkeeper,€1.00m,Joined,Malmö FF,free transfer
Aston VillaArray,Lewis Dobbin,Out,22,Left Winger,€2.50m,Joined,Preston North End,loan transfer
Aston VillaArray,Filip Marschall,Out,22,Goalkeeper,€800k,Joined,Stevenage FC,?
Aston VillaArray,Oliwier Zych,Out,21,Goalkeeper,€800k,Joined,Raków Częstochowa,loan transfer
Aston VillaArray,Joe Gauci,Out,25,Goalkeeper,€1.50m,Joined,Port Vale FC,loan transfer
Aston VillaArray,Samuel Iling-Junior,Out,21,Left Winger,€10.00m,Joined,West Bromwich Albion,loan transfer
Aston VillaArray,Kortney Hause,Out,29,Centre-Back,€1.00m,Joined,Without Club,-
Aston VillaArray,Axel Disasi,Out,27,Centre-Back,€22.00m,Joined,Chelsea FC,"End of loan Jun 30, 2025"
Aston VillaArray,Marco Asensio,Out,29,Attacking Midfield,€20.00m,Joined,Paris Saint-Germain,"End of loan Jun 30, 2025"
Aston VillaArray,Marcus Rashford,Out,27,Left Winger,€50.00m,Joined,Manchester United,"End of loan Jun 30, 2025"
AFC BournemouthArray,Bafodé Diakité,In,24,Centre-Back,€28.00m,Left,LOSC Lille,€35.00m
AFC BournemouthArray,Djordje Petrovic,In,25,Goalkeeper,€20.00m,Left,Chelsea FC,€28.90m
AFC BournemouthArray,Ben Doak,In,19,Right Winger,€14.00m,Left,Liverpool FC,€23.20m
AFC BournemouthArray,Amine Adli,In,25,Left Winger,€18.00m,Left,Bayer 04 Leverkusen,€21.00m
AFC BournemouthArray,Veljko Milosavljevic,In,18,Centre-Back,€1.00m,Left,Red Star Belgrade,€15.00m
AFC BournemouthArray,Adrien Truffert,In,23,Left-Back,€15.00m,Left,Stade Rennais FC,€13.50m
AFC BournemouthArray,Álex Jiménez,In,20,Right-Back,€15.00m,Left,AC Milan,Loan fee: €1.50m
AFC BournemouthArray,Callan McKenna,In,18,Goalkeeper,€600k,Left,AFC Bournemouth U21,-
AFC BournemouthArray,Owen Bevan,In,21,Centre-Back,-,Left,AFC Bournemouth U21,-
AFC BournemouthArray,Ben Winterburn,In,20,Defensive Midfield,€500k,Left,AFC Bournemouth U21,-
AFC BournemouthArray,Joe Rothwell,In,30,Central Midfield,€1.80m,Left,Leeds United,"End of loan Jun 30, 2025"
AFC BournemouthArray,Alex Paulsen,In,22,Goalkeeper,€750k,Left,Auckland FC,"End of loan Jun 30, 2025"
AFC BournemouthArray,Ben Winterburn,In,21,Defensive Midfield,€500k,Left,Barnet FC,"End of loan May 31, 2026"
AFC BournemouthArray,Romain Faivre,In,26,Attacking Midfield,€6.00m,Left,Stade Brestois 29,"End of loan Jun 30, 2025"
AFC BournemouthArray,Hamed Traoré,In,25,Left Winger,€20.00m,Left,AJ Auxerre,"End of loan Jun 30, 2025"
AFC BournemouthArray,Jaidon Anthony,In,25,Left Winger,€9.00m,Left,Burnley FC,"End of loan Jun 30, 2025"
AFC BournemouthArray,Neto,In,35,Goalkeeper,€1.50m,Left,Arsenal FC,"End of loan Jun 30, 2025"
AFC BournemouthArray,Philip Billing,In,29,Central Midfield,€10.00m,Left,SSC Napoli,"End of loan Jun 30, 2025"
AFC BournemouthArray,Max Aarons,In,25,Right-Back,€6.00m,Left,Valencia CF,"End of loan Jun 30, 2025"
AFC BournemouthArray,Eli Kroupi,In,19,Centre-Forward,€15.00m,Left,FC Lorient,"End of loan Jun 30, 2025"
AFC BournemouthArray,Ilya Zabarnyi,Out,22,Centre-Back,€42.00m,Joined,Paris Saint-Germain,€63.00m
AFC BournemouthArray,Dean Huijsen,Out,20,Centre-Back,€60.00m,Joined,Real Madrid,€62.50m
AFC BournemouthArray,Milos Kerkez,Out,21,Left-Back,€45.00m,Joined,Liverpool FC,€46.90m
AFC BournemouthArray,Dango Ouattara,Out,23,Left Winger,€28.00m,Joined,Brentford FC,€42.80m
AFC BournemouthArray,Jaidon Anthony,Out,25,Left Winger,€9.00m,Joined,Burnley FC,€9.50m
AFC BournemouthArray,Philip Billing,Out,29,Central Midfield,€10.00m,Joined,FC Midtjylland,€5.00m
AFC BournemouthArray,Mark Travers,Out,26,Goalkeeper,€4.00m,Joined,Everton FC,€4.60m
AFC BournemouthArray,Luis Sinisterra,Out,26,Left Winger,€15.00m,Joined,Cruzeiro Esporte Clube,Loan fee: €2.50m
AFC BournemouthArray,Chris Mepham,Out,27,Centre-Back,€6.00m,Joined,West Bromwich Albion,€1.15m
AFC BournemouthArray,Joe Rothwell,Out,30,Central Midfield,€1.80m,Joined,Rangers FC,€460k
AFC BournemouthArray,Neto,Out,36,Goalkeeper,€1.50m,Joined,Botafogo de Futebol e Regatas,free transfer
AFC BournemouthArray,Romain Faivre,Out,27,Attacking Midfield,€6.00m,Joined,Al-Taawoun FC,loan transfer
AFC BournemouthArray,Alex Paulsen,Out,23,Goalkeeper,€750k,Joined,Lechia Gdansk,loan transfer
AFC BournemouthArray,Hamed Traoré,Out,25,Left Winger,€20.00m,Joined,Olympique Marseille,loan transfer
AFC BournemouthArray,Max Aarons,Out,25,Right-Back,€6.00m,Joined,Rangers FC,loan transfer
AFC BournemouthArray,Daniel Jebbison,Out,21,Centre-Forward,€4.00m,Joined,Preston North End,loan transfer
AFC BournemouthArray,Ben Winterburn,Out,20,Defensive Midfield,€500k,Joined,Barnet FC,loan transfer
AFC BournemouthArray,Kepa Arrizabalaga,Out,30,Goalkeeper,€10.00m,Joined,Chelsea FC,"End of loan Jun 30, 2025"
Brentford FCArray,Dango Ouattara,In,23,Left Winger,€28.00m,Left,AFC Bournemouth,€42.80m
Brentford FCArray,Antoni Milambo,In,20,Attacking Midfield,€18.00m,Left,Feyenoord Rotterdam,€20.00m
Brentford FCArray,Michael Kayode,In,20,Right-Back,€18.00m,Left,ACF Fiorentina,€17.50m
Brentford FCArray,Caoimhín Kelleher,In,26,Goalkeeper,€20.00m,Left,Liverpool FC,€14.80m
Brentford FCArray,Romelle Donovan,In,18,Right Winger,€800k,Left,Birmingham City,€3.60m
Brentford FCArray,Jordan Henderson,In,35,Defensive Midfield,€2.50m,Left,Ajax Amsterdam,free transfer
Brentford FCArray,Reiss Nelson,In,25,Left Winger,€16.00m,Left,Arsenal FC,loan transfer
Brentford FCArray,Julian Eyestone,In,19,Goalkeeper,-,Left,Brentford FC B,-
Brentford FCArray,Benjamin Arthur,In,19,Centre-Back,-,Left,Brentford FC B,-
Brentford FCArray,Frank Onyeka,In,27,Central Midfield,€7.00m,Left,FC Augsburg,"End of loan Jun 30, 2025"
Brentford FCArray,Ryan Trevitt,In,23,Central Midfield,€275k,Left,Wigan Athletic,"End of loan May 31, 2026"
Brentford FCArray,Jayden Meghoma,In,19,Left-Back,€500k,Left,Rangers FC,"End of loan May 31, 2026"
Brentford FCArray,Mads Roerslev,In,26,Right-Back,€6.00m,Left,VfL Wolfsburg,"End of loan Jun 30, 2025"
Brentford FCArray,Ellery Balcombe,In,25,Goalkeeper,€400k,Left,Motherwell FC,"End of loan Jun 30, 2025"
Brentford FCArray,Jayden Meghoma,In,19,Left-Back,€500k,Left,Preston North End,"End of loan Jun 30, 2025"
Brentford FCArray,Bryan Mbeumo,Out,25,Right Winger,€55.00m,Joined,Manchester United,€75.00m
Brentford FCArray,Yoane Wissa,Out,28,Centre-Forward,€32.00m,Joined,Newcastle United,€57.70m
Brentford FCArray,Christian Nørgaard,Out,31,Defensive Midfield,€11.00m,Joined,Arsenal FC,€11.60m
Brentford FCArray,Mark Flekken,Out,32,Goalkeeper,€10.00m,Joined,Bayer 04 Leverkusen,€11.00m
Brentford FCArray,Ben Mee,Out,35,Centre-Back,€700k,Joined,Sheffield United,free transfer
Brentford FCArray,Ben Winterbottom,Out,23,Goalkeeper,-,Joined,Barrow AFC,free transfer
Brentford FCArray,Mads Roerslev,Out,26,Right-Back,€6.00m,Joined,Southampton FC,?
Brentford FCArray,Ji-soo Kim,Out,20,Centre-Back,€600k,Joined,1.FC Kaiserslautern,loan transfer
Brentford FCArray,Josh Dasilva,Out,26,Central Midfield,€5.00m,Joined,Without Club,-
Brentford FCArray,Ryan Trevitt,Out,22,Central Midfield,€275k,Joined,Wigan Athletic,loan transfer
Brentford FCArray,Jayden Meghoma,Out,19,Left-Back,€500k,Joined,Rangers FC,loan transfer
Brentford FCArray,Michael Kayode,Out,20,Right-Back,€18.00m,Joined,ACF Fiorentina,"End of loan Jun 30, 2025"
Brighton & Hove AlbionArray,Charalampos Kostoulas,In,18,Centre-Forward,€12.00m,Left,Olympiacos Piraeus,€35.00m
Brighton & Hove AlbionArray,Maxim De Cuyper,In,24,Left-Back,€16.00m,Left,Club Brugge KV,€20.00m
Brighton & Hove AlbionArray,Tom Watson,In,19,Left Winger,€8.00m,Left,Sunderland AFC,€12.00m
Brighton & Hove AlbionArray,Diego Coppola,In,21,Centre-Back,€10.00m,Left,Hellas Verona,€11.00m
Brighton & Hove AlbionArray,Do-young Yoon,In,18,Right Winger,€800k,Left,Daejeon Hana Citizen,€2.00m
Brighton & Hove AlbionArray,Olivier Boscagli,In,27,Centre-Back,€20.00m,Left,PSV Eindhoven,free transfer
Brighton & Hove AlbionArray,Andrew Moran,In,21,Attacking Midfield,€3.50m,Left,Brighton & Hove Albion U21,-
Brighton & Hove AlbionArray,James Beadle,In,20,Goalkeeper,€5.00m,Left,Brighton & Hove Albion U21,-
Brighton & Hove AlbionArray,Valentín Barco,In,20,Central Midfield,€12.00m,Left,RC Strasbourg Alsace,"End of loan Jun 30, 2025"
Brighton & Hove AlbionArray,Carl Rushworth,In,24,Goalkeeper,€3.00m,Left,Coventry City,"End of loan May 31, 2026"
Brighton & Hove AlbionArray,Kjell Scherpen,In,25,Goalkeeper,€5.00m,Left,SK Sturm Graz,"End of loan Jun 30, 2025"
Brighton & Hove AlbionArray,Eiran Cashin,In,24,Centre-Back,€8.00m,Left,Birmingham City,"End of loan May 31, 2026"
Brighton & Hove AlbionArray,Stefanos Tzimas,In,19,Centre-Forward,€22.00m,Left,1.FC Nuremberg,"End of loan Jun 30, 2025"
Brighton & Hove AlbionArray,Malick Yalcouyé,In,20,Central Midfield,€17.00m,Left,Swansea City,"End of loan May 31, 2026"
Brighton & Hove AlbionArray,Amario Cozier-Duberry,In,21,Right Winger,€2.00m,Left,Bolton Wanderers,"End of loan May 31, 2026"
Brighton & Hove AlbionArray,Julio Enciso,In,21,Attacking Midfield,€22.00m,Left,Ipswich Town,"End of loan Jun 30, 2025"
Brighton & Hove AlbionArray,Malick Yalcouyé,In,19,Central Midfield,€17.00m,Left,SK Sturm Graz,"End of loan Jun 30, 2025"
Brighton & Hove AlbionArray,Abdallah Sima,In,24,Left Winger,€9.00m,Left,Stade Brestois 29,"End of loan Jun 30, 2025"
Brighton & Hove AlbionArray,Ibrahim Osman,In,20,Left Winger,€10.00m,Left,Feyenoord Rotterdam,"End of loan Jun 30, 2025"
Brighton & Hove AlbionArray,Evan Ferguson,In,20,Centre-Forward,€25.00m,Left,West Ham United,"End of loan Jun 30, 2025"
Brighton & Hove AlbionArray,James Beadle,In,21,Goalkeeper,€5.00m,Left,Birmingham City,"End of loan May 31, 2026"
Brighton & Hove AlbionArray,Facundo Buonanotte,In,20,Attacking Midfield,€20.00m,Left,Leicester City,"End of loan Jun 30, 2025"
Brighton & Hove AlbionArray,João Pedro,Out,23,Centre-Forward,€50.00m,Joined,Chelsea FC,€63.70m
Brighton & Hove AlbionArray,Simon Adingra,Out,23,Left Winger,€28.00m,Joined,Sunderland AFC,€24.40m
Brighton & Hove AlbionArray,Pervis Estupiñán,Out,27,Left-Back,€30.00m,Joined,AC Milan,€17.00m
Brighton & Hove AlbionArray,Valentín Barco,Out,20,Central Midfield,€12.00m,Joined,RC Strasbourg Alsace,€10.00m
Brighton & Hove AlbionArray,Julio Enciso,Out,21,Attacking Midfield,€22.00m,Joined,RC Strasbourg Alsace,€9.50m
Brighton & Hove AlbionArray,Tariq Lamptey,Out,24,Right-Back,€11.00m,Joined,ACF Fiorentina,€6.00m
Brighton & Hove AlbionArray,Abdallah Sima,Out,24,Left Winger,€9.00m,Joined,RC Lens,€4.50m
Brighton & Hove AlbionArray,Evan Ferguson,Out,20,Centre-Forward,€25.00m,Joined,AS Roma,Loan fee: €3.00m
Brighton & Hove AlbionArray,Facundo Buonanotte,Out,20,Attacking Midfield,€20.00m,Joined,Chelsea FC,Loan fee: €2.30m
Brighton & Hove AlbionArray,Kjell Scherpen,Out,25,Goalkeeper,€5.00m,Joined,Union Saint-Gilloise,€2.00m
Brighton & Hove AlbionArray,Matt O'Riley,Out,24,Central Midfield,€22.00m,Joined,Olympique Marseille,Loan fee: €2.00m
Brighton & Hove AlbionArray,Odeluga Offiah,Out,22,Right-Back,€600k,Joined,Preston North End,€1.60m
Brighton & Hove AlbionArray,James Beadle,Out,20,Goalkeeper,€5.00m,Joined,Birmingham City,loan transfer
Brighton & Hove AlbionArray,Igor Julio,Out,27,Centre-Back,€20.00m,Joined,West Ham United,loan transfer
Brighton & Hove AlbionArray,Jeremy Sarmiento,Out,23,Left Winger,€7.00m,Joined,US Cremonese,loan transfer
Brighton & Hove AlbionArray,Andrew Moran,Out,21,Attacking Midfield,€3.50m,Joined,Los Angeles FC,loan transfer
Brighton & Hove AlbionArray,Eiran Cashin,Out,23,Centre-Back,€8.00m,Joined,Birmingham City,loan transfer
Brighton & Hove AlbionArray,Carl Rushworth,Out,24,Goalkeeper,€3.00m,Joined,Coventry City,loan transfer
Brighton & Hove AlbionArray,Do-young Yoon,Out,18,Right Winger,€800k,Joined,Excelsior Rotterdam,loan transfer
Brighton & Hove AlbionArray,Ibrahim Osman,Out,20,Left Winger,€10.00m,Joined,AJ Auxerre,loan transfer
Brighton & Hove AlbionArray,Amario Cozier-Duberry,Out,20,Right Winger,€2.00m,Joined,Bolton Wanderers,loan transfer
Brighton & Hove AlbionArray,Malick Yalcouyé,Out,19,Central Midfield,€17.00m,Joined,Swansea City,loan transfer
Burnley FCArray,Lesley Ugochukwu,In,21,Defensive Midfield,€18.00m,Left,Chelsea FC,€28.70m
Burnley FCArray,Armando Broja,In,23,Centre-Forward,€12.00m,Left,Chelsea FC,€23.00m
Burnley FCArray,Loum Tchaouna,In,21,Right Winger,€10.00m,Left,SS Lazio,€15.15m
Burnley FCArray,Bashir Humphreys,In,22,Left-Back,€7.00m,Left,Chelsea FC,€14.00m
Burnley FCArray,Quilindschy Hartman,In,23,Left-Back,€14.00m,Left,Feyenoord Rotterdam,€10.00m
Burnley FCArray,Marcus Edwards,In,26,Right Winger,€12.00m,Left,Sporting CP,€10.00m
Burnley FCArray,Jaidon Anthony,In,25,Left Winger,€9.00m,Left,AFC Bournemouth,€9.50m
Burnley FCArray,Zian Flemming,In,26,Centre-Forward,€6.50m,Left,Millwall FC,€8.30m
Burnley FCArray,Max Weiß,In,21,Goalkeeper,€4.00m,Left,Karlsruher SC,€4.00m
Burnley FCArray,Jacob Bruun Larsen,In,26,Left Winger,€5.00m,Left,VfB Stuttgart,€4.00m
Burnley FCArray,Florentino,In,26,Defensive Midfield,€22.00m,Left,SL Benfica,Loan fee: €2.00m
Burnley FCArray,Axel Tuanzebe,In,27,Right-Back,€5.00m,Left,Ipswich Town,free transfer
Burnley FCArray,Kyle Walker,In,35,Right-Back,€4.00m,Left,Manchester City,?
Burnley FCArray,Martin Dúbravka,In,36,Goalkeeper,€1.00m,Left,Newcastle United,?
Burnley FCArray,Owen Dodgson,In,23,Left-Back,€300k,Left,Stockport County,"End of loan May 31, 2026"
Burnley FCArray,Oluwaseun Adewumi,In,20,Attacking Midfield,€350k,Left,Dundee FC,"End of loan Jun 30, 2025"
Burnley FCArray,Zeki Amdouni,In,24,Centre-Forward,€12.00m,Left,SL Benfica,"End of loan Jun 30, 2025"
Burnley FCArray,Andréas Hountondji,In,22,Centre-Forward,€2.50m,Left,Standard Liège,"End of loan Jun 30, 2025"
Burnley FCArray,Han-Noah Massengo,In,23,Central Midfield,€5.00m,Left,AJ Auxerre,"End of loan Jun 30, 2025"
Burnley FCArray,Hjalmar Ekdal,In,26,Centre-Back,€4.50m,Left,FC Groningen,"End of loan Jun 30, 2025"
Burnley FCArray,Hannes Delcroix,In,26,Centre-Back,€3.50m,Left,Swansea City,"End of loan Jun 30, 2025"
Burnley FCArray,Aaron Ramsey,In,23,Attacking Midfield,€10.00m,Left,Leicester City,"End of loan May 31, 2026"
Burnley FCArray,Benson Manuel,In,29,Right Winger,€3.50m,Left,Swansea City,"End of loan May 31, 2026"
Burnley FCArray,Darko Churlinov,In,24,Left Winger,€1.50m,Left,Jagiellonia Bialystok,"End of loan Jun 30, 2025"
Burnley FCArray,James Trafford,Out,22,Goalkeeper,€22.00m,Joined,Manchester City,€31.20m
Burnley FCArray,Han-Noah Massengo,Out,24,Central Midfield,€5.00m,Joined,FC Augsburg,€3.00m
Burnley FCArray,Dara Costelloe,Out,22,Left Winger,€450k,Joined,Wigan Athletic,€400k
Burnley FCArray,Andréas Hountondji,Out,22,Centre-Forward,€2.50m,Joined,FC St. Pauli,Loan fee: €400k
Burnley FCArray,Etienne Green,Out,25,Goalkeeper,€700k,Joined,FC Fredericia,free transfer
Burnley FCArray,Josh Brownhill,Out,29,Central Midfield,€14.00m,Joined,Al-Shabab FC,free transfer
Burnley FCArray,CJ Egan-Riley,Out,22,Centre-Back,€16.00m,Joined,Olympique Marseille,free transfer
Burnley FCArray,Darko Churlinov,Out,25,Left Winger,€1.50m,Joined,Kocaelispor,?
Burnley FCArray,Aaron Ramsey,Out,22,Attacking Midfield,€10.00m,Joined,Leicester City,loan transfer
Burnley FCArray,Michael Obafemi,Out,25,Centre-Forward,€1.70m,Joined,VfL Bochum,loan transfer
Burnley FCArray,Luca Koleosho,Out,20,Right Winger,€12.00m,Joined,RCD Espanyol Barcelona,loan transfer
Burnley FCArray,Shurandy Sambo,Out,23,Right-Back,€2.00m,Joined,Sparta Rotterdam,loan transfer
Burnley FCArray,Oluwaseun Adewumi,Out,20,Attacking Midfield,€350k,Joined,Cercle Brugge,loan transfer
Burnley FCArray,Owen Dodgson,Out,22,Left-Back,€300k,Joined,Stockport County,loan transfer
Burnley FCArray,Jonjo Shelvey,Out,33,Central Midfield,€800k,Joined,Without Club,-
Burnley FCArray,Nathan Redmond,Out,31,Right Winger,€1.50m,Joined,Without Club,-
Burnley FCArray,Benson Manuel,Out,28,Right Winger,€3.50m,Joined,Swansea City,loan transfer
Burnley FCArray,Zian Flemming,Out,26,Centre-Forward,€6.50m,Joined,Millwall FC,"End of loan Jun 30, 2025"
Burnley FCArray,Jaidon Anthony,Out,25,Left Winger,€9.00m,Joined,AFC Bournemouth,"End of loan Jun 30, 2025"
Burnley FCArray,Marcus Edwards,Out,26,Right Winger,€12.00m,Joined,Sporting CP,"End of loan Jun 30, 2025"
Burnley FCArray,Bashir Humphreys,Out,22,Left-Back,€7.00m,Joined,Chelsea FC,"End of loan Jun 30, 2025"
Chelsea FCArray,João Pedro,In,23,Centre-Forward,€50.00m,Left,Brighton & Hove Albion,€63.70m
Chelsea FCArray,Jamie Gittens,In,20,Left Winger,€50.00m,Left,Borussia Dortmund,€56.00m
