Team,Player,Direction,Age,Position,Market Value,Left/Joined,Club that left/joined,Fee
Manchester UnitedArray,Marcus Rashford,In,27,Left Winger,€50.00m,Left,Aston Villa,"End of loan Jun 30, 2025"
Manchester UnitedArray,Antony,In,25,Right Winger,€35.00m,Left,Real Betis Balompié,"End of loan Jun 30, 2025"
Manchester UnitedArray,Alejandro Garnacho,Out,21,Left Winger,€45.00m,Joined,Chelsea FC,€46.20m
Manchester UnitedArray,Antony,Out,25,Right Winger,€35.00m,Joined,Real Betis Balompié,€22.00m
Manchester UnitedArray,Rasmus Højlund,Out,22,Centre-Forward,€35.00m,Joined,SSC Napoli,Loan fee: €6.00m
Manchester UnitedArray,Victor Lindelöf,Out,31,Centre-Back,€8.00m,Joined,Aston Villa,free transfer
Manchester UnitedArray,André Onana,Out,29,Goalkeeper,€25.00m,Joined,Trabzonspor,loan transfer
Manchester UnitedArray,Marcus Rashford,Out,27,Left Winger,€50.00m,Joined,FC Barcelona,loan transfer
Manchester UnitedArray,Jadon Sancho,Out,25,Left Winger,€28.00m,Joined,Aston Villa,loan transfer
Manchester UnitedArray,Harry Amass,Out,18,Left-Back,€5.00m,Joined,Sheffield Wednesday,loan transfer
Manchester UnitedArray,Toby Collyer,Out,21,Defensive Midfield,€5.00m,Joined,West Bromwich Albion,loan transfer
Manchester UnitedArray,Christian Eriksen,Out,33,Attacking Midfield,€4.00m,Joined,Without Club,-
Manchester UnitedArray,Jonny Evans,Out,37,Centre-Back,€1.00m,Joined,Retired,-
Newcastle UnitedArray,Nick Woltemade,In,23,Second Striker,€30.00m,Left,VfB Stuttgart,€75.00m
Newcastle UnitedArray,Anthony Elanga,In,23,Right Winger,€42.00m,Left,Nottingham Forest,€61.40m
Newcastle UnitedArray,Yoane Wissa,In,28,Centre-Forward,€32.00m,Left,Brentford FC,€57.70m
Newcastle UnitedArray,Jacob Ramsey,In,24,Central Midfield,€32.00m,Left,Aston Villa,€45.15m
Newcastle UnitedArray,Malick Thiaw,In,24,Centre-Back,€18.00m,Left,AC Milan,€35.00m
Newcastle UnitedArray,Aaron Ramsdale,In,27,Goalkeeper,€16.00m,Left,Southampton FC,Loan fee: €4.60m
Newcastle UnitedArray,Antoñito Cordero,In,18,Left Winger,€2.00m,Left,Málaga CF,free transfer
Newcastle UnitedArray,Harrison Ashby,In,23,Right-Back,€1.40m,Left,Queens Park Rangers,"End of loan Jun 30, 2025"
Newcastle UnitedArray,Joe White,In,23,Attacking Midfield,€275k,Left,Leyton Orient,"End of loan May 31, 2026"
Newcastle UnitedArray,Matt Targett,In,30,Left-Back,€5.00m,Left,Middlesbrough FC,"End of loan May 31, 2026"
Newcastle UnitedArray,Lloyd Kelly,In,26,Centre-Back,€16.00m,Left,Juventus FC,"End of loan Jun 30, 2025"
Newcastle UnitedArray,Isaac Hayden,In,30,Defensive Midfield,€700k,Left,Portsmouth FC,"End of loan Jun 30, 2025"
Newcastle UnitedArray,Alexander Isak,Out,25,Centre-Forward,€120.00m,Joined,Liverpool FC,€145.00m
Newcastle UnitedArray,Lloyd Kelly,Out,26,Centre-Back,€16.00m,Joined,Juventus FC,€17.20m
Newcastle UnitedArray,Sean Longstaff,Out,27,Central Midfield,€20.00m,Joined,Leeds United,€13.80m
Newcastle UnitedArray,Callum Wilson,Out,33,Centre-Forward,€8.00m,Joined,West Ham United,free transfer
Newcastle UnitedArray,Isaac Hayden,Out,30,Defensive Midfield,€700k,Joined,Queens Park Rangers,free transfer
Newcastle UnitedArray,Martin Dúbravka,Out,36,Goalkeeper,€1.00m,Joined,Burnley FC,?
Newcastle UnitedArray,Antoñito Cordero,Out,18,Left Winger,€2.00m,Joined,KVC Westerlo,loan transfer
Newcastle UnitedArray,Odysseas Vlachodimos,Out,31,Goalkeeper,€5.00m,Joined,Sevilla FC,loan transfer
Newcastle UnitedArray,Joe White,Out,22,Attacking Midfield,€275k,Joined,Leyton Orient,loan transfer
Newcastle UnitedArray,Jamal Lewis,Out,27,Left-Back,€2.50m,Joined,Without Club,-
Newcastle UnitedArray,Matt Targett,Out,29,Left-Back,€5.00m,Joined,Middlesbrough FC,loan transfer
Nottingham ForestArray,Omari Hutchinson,In,21,Attacking Midfield,€22.00m,Left,Ipswich Town,€43.40m
Nottingham ForestArray,Dan Ndoye,In,24,Right Winger,€35.00m,Left,Bologna FC 1909,€42.00m
Nottingham ForestArray,Dilane Bakwa,In,23,Right Winger,€25.00m,Left,RC Strasbourg Alsace,€35.00m
Nottingham ForestArray,Arnaud Kalimuendo,In,23,Centre-Forward,€22.00m,Left,Stade Rennais FC,€30.00m
Nottingham ForestArray,James McAtee,In,22,Attacking Midfield,€20.00m,Left,Manchester City,€25.50m
Nottingham ForestArray,Igor Jesus,In,24,Centre-Forward,€15.00m,Left,Botafogo de Futebol e Regatas,€19.00m
Nottingham ForestArray,Nicolò Savona,In,22,Right-Back,€12.00m,Left,Juventus FC,€13.00m
Nottingham ForestArray,Jair Cunha,In,20,Centre-Back,€13.00m,Left,Botafogo de Futebol e Regatas,€12.00m
Nottingham ForestArray,John Victor,In,29,Goalkeeper,€8.00m,Left,Botafogo de Futebol e Regatas,€8.00m
Nottingham ForestArray,Cuiabano,In,22,Left-Back,€8.00m,Left,Botafogo de Futebol e Regatas,€6.00m
Nottingham ForestArray,Douglas Luiz,In,27,Central Midfield,€30.00m,Left,Juventus FC,Loan fee: €3.00m
Nottingham ForestArray,Angus Gunn,In,29,Goalkeeper,€2.20m,Left,Norwich City,free transfer
Nottingham ForestArray,Oleksandr Zinchenko,In,28,Left-Back,€20.00m,Left,Arsenal FC,loan transfer
Nottingham ForestArray,Zach Abbott,In,19,Centre-Back,€300k,Left,Nottingham Forest U21,-
Nottingham ForestArray,Andrew Omobamidele,In,23,Centre-Back,€8.00m,Left,RC Strasbourg Alsace,"End of loan Jun 30, 2025"
Nottingham ForestArray,Matt Turner,In,31,Goalkeeper,€2.50m,Left,Crystal Palace,"End of loan Jun 30, 2025"
Nottingham ForestArray,Tyler Bindon,In,20,Centre-Back,€1.20m,Left,Reading FC,"End of loan Jun 30, 2025"
Nottingham ForestArray,David Carmo,In,25,Centre-Back,€10.00m,Left,Olympiacos Piraeus,"End of loan Jun 30, 2025"
Nottingham ForestArray,Omar Richards,In,27,Left-Back,€2.50m,Left,Rio Ave FC,"End of loan Jun 30, 2025"
Nottingham ForestArray,Marko Stamenic,In,23,Central Midfield,€3.00m,Left,Olympiacos Piraeus,"End of loan Jun 30, 2025"
Nottingham ForestArray,Jonathan Panzo,In,24,Centre-Back,€1.20m,Left,Rio Ave FC,"End of loan Jun 30, 2025"
Nottingham ForestArray,Anthony Elanga,Out,23,Right Winger,€42.00m,Joined,Newcastle United,€61.40m
Nottingham ForestArray,Danilo,Out,24,Defensive Midfield,€28.00m,Joined,Botafogo de Futebol e Regatas,€23.00m
Nottingham ForestArray,Ramón Sosa,Out,25,Left Winger,€12.00m,Joined,Sociedade Esportiva Palmeiras,€12.50m
Nottingham ForestArray,Andrew Omobamidele,Out,23,Centre-Back,€8.00m,Joined,RC Strasbourg Alsace,€10.50m
Nottingham ForestArray,Matt Turner,Out,31,Goalkeeper,€2.50m,Joined,Olympique Lyon,€8.00m
Nottingham ForestArray,Carlos Miguel,Out,26,Goalkeeper,€4.00m,Joined,Sociedade Esportiva Palmeiras,€5.50m
Nottingham ForestArray,Lewis O'Brien,Out,26,Central Midfield,€4.00m,Joined,Wrexham AFC,€3.50m
Nottingham ForestArray,Jota Silva,Out,26,Right Winger,€15.00m,Joined,Besiktas JK,Loan fee: €2.50m
Nottingham ForestArray,Harry Toffolo,Out,29,Left-Back,€3.00m,Joined,Charlotte FC,free transfer
Nottingham ForestArray,Josh Bowler,Out,26,Right Winger,€1.00m,Joined,Blackpool FC,free transfer
Nottingham ForestArray,Jonathan Panzo,Out,24,Centre-Back,€1.20m,Joined,Rio Ave FC,free transfer
Nottingham ForestArray,Cuiabano,Out,22,Left-Back,€8.00m,Joined,Botafogo de Futebol e Regatas,loan transfer
Nottingham ForestArray,Marko Stamenic,Out,23,Central Midfield,€3.00m,Joined,Swansea City,?
Nottingham ForestArray,Tyler Bindon,Out,20,Centre-Back,€1.20m,Joined,Sheffield United,loan transfer
Nottingham ForestArray,Eric da Silva Moreira,Out,19,Right-Back,€1.00m,Joined,Rio Ave FC,loan transfer
Nottingham ForestArray,David Carmo,Out,26,Centre-Back,€10.00m,Joined,Real Oviedo,loan transfer
Nottingham ForestArray,Emmanuel Dennis,Out,27,Centre-Forward,€2.50m,Joined,Without Club,-
Nottingham ForestArray,Wayne Hennessey,Out,38,Goalkeeper,€150k,Joined,Retired,-
Nottingham ForestArray,Omar Richards,Out,27,Left-Back,€2.50m,Joined,Rio Ave FC,loan transfer
Nottingham ForestArray,Álex Moreno,Out,32,Left-Back,€7.00m,Joined,Aston Villa,"End of loan Jun 30, 2025"
Sunderland AFCArray,Habib Diarra,In,21,Central Midfield,€20.00m,Left,RC Strasbourg Alsace,€31.50m
Sunderland AFCArray,Simon Adingra,In,23,Left Winger,€28.00m,Left,Brighton & Hove Albion,€24.40m
Sunderland AFCArray,Enzo Le Fée,In,25,Central Midfield,€18.00m,Left,AS Roma,€23.00m
Sunderland AFCArray,Brian Brobbey,In,23,Centre-Forward,€22.00m,Left,Ajax Amsterdam,€20.00m
Sunderland AFCArray,Chemsdine Talbi,In,20,Right Winger,€8.00m,Left,Club Brugge KV,€20.00m
Sunderland AFCArray,Noah Sadiki,In,20,Central Midfield,€12.00m,Left,Union Saint-Gilloise,€17.00m
Sunderland AFCArray,Granit Xhaka,In,32,Defensive Midfield,€12.00m,Left,Bayer 04 Leverkusen,€15.00m
Sunderland AFCArray,Nordi Mukiele,In,27,Right-Back,€10.00m,Left,Paris Saint-Germain,€12.00m
Sunderland AFCArray,Omar Alderete,In,28,Centre-Back,€8.00m,Left,Getafe CF,€11.60m
Sunderland AFCArray,Robin Roefs,In,22,Goalkeeper,€4.00m,Left,NEC Nijmegen,€10.50m
Sunderland AFCArray,Bertrand Traoré,In,29,Right Winger,€8.00m,Left,Ajax Amsterdam,€2.90m
Sunderland AFCArray,Reinildo Mandava,In,31,Left-Back,€5.00m,Left,Atlético de Madrid,free transfer
Sunderland AFCArray,Arthur Masuaku,In,31,Left-Back,€3.00m,Left,Besiktas JK,free transfer
Sunderland AFCArray,Lutsharel Geertruida,In,25,Right-Back,€20.00m,Left,RB Leipzig,loan transfer
Sunderland AFCArray,Marc Guiu,In,19,Centre-Forward,€8.00m,Left,Chelsea FC,loan transfer
Sunderland AFCArray,Zak Johnson,In,20,Centre-Back,€50k,Left,Sunderland AFC U21,-
Sunderland AFCArray,Harrison Jones,In,20,Attacking Midfield,€150k,Left,Sunderland AFC U21,-
Sunderland AFCArray,Luís Semedo,In,21,Centre-Forward,€500k,Left,Juventus Next Gen,"End of loan Jun 30, 2025"
Sunderland AFCArray,Alan Browne,In,31,Central Midfield,€2.20m,Left,Middlesbrough FC,"End of loan May 31, 2026"
Sunderland AFCArray,Abdoullah Ba,In,21,Right Midfield,€2.50m,Left,USL Dunkerque,"End of loan Jun 30, 2025"
Sunderland AFCArray,Adil Aouchiche,In,22,Attacking Midfield,€1.50m,Left,Portsmouth FC,"End of loan Jun 30, 2025"
Sunderland AFCArray,Nazariy Rusyn,In,26,Centre-Forward,€1.00m,Left,HNK Hajduk Split,"End of loan Jun 30, 2025"
Sunderland AFCArray,Nectarios Triantis,In,22,Central Midfield,€1.00m,Left,Hibernian FC,"End of loan Jun 30, 2025"
Sunderland AFCArray,Timothée Pembélé,In,22,Right-Back,€2.50m,Left,Le Havre AC,"End of loan Jun 30, 2025"
Sunderland AFCArray,Pierre Ekwah,In,23,Defensive Midfield,€7.00m,Left,AS Saint-Étienne,"End of loan Jun 30, 2025"
Sunderland AFCArray,Jobe Bellingham,Out,19,Central Midfield,€22.00m,Joined,Borussia Dortmund,€30.50m
Sunderland AFCArray,Tom Watson,Out,19,Left Winger,€8.00m,Joined,Brighton & Hove Albion,€12.00m
Sunderland AFCArray,Pierre Ekwah,Out,23,Defensive Midfield,€7.00m,Joined,AS Saint-Étienne,€6.00m
Sunderland AFCArray,Nectarios Triantis,Out,22,Central Midfield,€1.00m,Joined,Minnesota United FC,€2.50m
Sunderland AFCArray,Nathan Bishop,Out,25,Goalkeeper,€275k,Joined,AFC Wimbledon,?
Sunderland AFCArray,Adil Aouchiche,Out,22,Attacking Midfield,€1.50m,Joined,Aberdeen FC,loan transfer
Sunderland AFCArray,Jenson Seelt,Out,22,Centre-Back,€2.00m,Joined,VfL Wolfsburg,loan transfer
Sunderland AFCArray,Niall Huggins,Out,24,Right-Back,€800k,Joined,Wycombe Wanderers,loan transfer
Sunderland AFCArray,Patrick Roberts,Out,28,Right Winger,€5.00m,Joined,Birmingham City,loan transfer
Sunderland AFCArray,Alan Browne,Out,30,Central Midfield,€2.20m,Joined,Middlesbrough FC,loan transfer
Sunderland AFCArray,Nazariy Rusyn,Out,26,Centre-Forward,€1.00m,Joined,Arka Gdynia,loan transfer
Sunderland AFCArray,Milan Aleksic,Out,20,Attacking Midfield,€700k,Joined,Cracovia,loan transfer
Sunderland AFCArray,Luís Semedo,Out,22,Centre-Forward,€500k,Joined,Moreirense FC,loan transfer
Sunderland AFCArray,Marc Guiu,Out,19,Centre-Forward,€8.00m,Joined,Chelsea FC,"End of loan Sep 1, 2025"
Sunderland AFCArray,Enzo Le Fée,Out,25,Central Midfield,€18.00m,Joined,AS Roma,"End of loan Jun 30, 2025"
Sunderland AFCArray,Salis Abdul Samed,Out,25,Defensive Midfield,€5.50m,Joined,RC Lens,"End of loan Jun 30, 2025"
Tottenham HotspurArray,Xavi Simons,In,22,Attacking Midfield,€70.00m,Left,RB Leipzig,€65.00m
Tottenham HotspurArray,Mohammed Kudus,In,24,Right Winger,€45.00m,Left,West Ham United,€63.80m
Tottenham HotspurArray,Mathys Tel,In,20,Centre-Forward,€35.00m,Left,Bayern Munich,€35.00m
Tottenham HotspurArray,Kevin Danso,In,26,Centre-Back,€25.00m,Left,RC Lens,€25.00m
Tottenham HotspurArray,Luka Vuskovic,In,18,Centre-Back,€12.00m,Left,HNK Hajduk Split,€11.00m
Tottenham HotspurArray,Kota Takai,In,20,Centre-Back,€2.50m,Left,Kawasaki Frontale,€5.80m
Tottenham HotspurArray,João Palhinha,In,30,Defensive Midfield,€30.00m,Left,Bayern Munich,Loan fee: €5.00m
Tottenham HotspurArray,Randal Kolo Muani,In,26,Centre-Forward,€30.00m,Left,Paris Saint-Germain,loan transfer
Tottenham HotspurArray,Min-hyeok Yang,In,19,Right Winger,€3.50m,Left,Queens Park Rangers,"End of loan Jun 30, 2025"
Tottenham HotspurArray,Alfie Devine,In,20,Attacking Midfield,€3.50m,Left,KVC Westerlo,"End of loan Jun 30, 2025"
Tottenham HotspurArray,Manor Solomon,In,25,Left Winger,€14.00m,Left,Leeds United,"End of loan Jun 30, 2025"
Tottenham HotspurArray,Ashley Phillips,In,20,Centre-Back,€2.80m,Left,Stoke City,"End of loan May 31, 2026"
Tottenham HotspurArray,Alejo Veliz,In,21,Centre-Forward,€2.50m,Left,RCD Espanyol Barcelona,"End of loan Jun 30, 2025"
Tottenham HotspurArray,Bryan Gil,In,24,Left Winger,€15.00m,Left,Girona FC,"End of loan Jun 30, 2025"
Tottenham HotspurArray,Pierre-Emile Højbjerg,In,29,Defensive Midfield,€20.00m,Left,Olympique Marseille,"End of loan Jun 30, 2025"
Tottenham HotspurArray,Heung-min Son,Out,33,Left Winger,€20.00m,Joined,Los Angeles FC,€22.00m
Tottenham HotspurArray,Pierre-Emile Højbjerg,Out,29,Defensive Midfield,€20.00m,Joined,Olympique Marseille,€13.50m
Tottenham HotspurArray,Bryan Gil,Out,24,Left Winger,€15.00m,Joined,Girona FC,€6.00m
Tottenham HotspurArray,Mikey Moore,Out,17,Left Winger,€18.00m,Joined,Rangers FC,loan transfer
Tottenham HotspurArray,Min-hyeok Yang,Out,19,Right Winger,€3.50m,Joined,Portsmouth FC,loan transfer
Tottenham HotspurArray,Alfie Devine,Out,21,Attacking Midfield,€3.50m,Joined,Preston North End,loan transfer
Tottenham HotspurArray,Alejo Veliz,Out,21,Centre-Forward,€2.50m,Joined,CA Rosario Central,loan transfer
Tottenham HotspurArray,Luka Vuskovic,Out,18,Centre-Back,€12.00m,Joined,Hamburger SV,loan transfer
Tottenham HotspurArray,Manor Solomon,Out,26,Left Winger,€14.00m,Joined,Villarreal CF,loan transfer
Tottenham HotspurArray,Alfie Whiteman,Out,26,Goalkeeper,€500k,Joined,Without Club,-
Tottenham HotspurArray,Sergio Reguilón,Out,28,Left-Back,€6.00m,Joined,Without Club,-
Tottenham HotspurArray,Fraser Forster,Out,37,Goalkeeper,€1.00m,Joined,Without Club,-
Tottenham HotspurArray,Mathys Tel,Out,20,Centre-Forward,€35.00m,Joined,Bayern Munich,"End of loan Jun 30, 2025"
Tottenham HotspurArray,Kevin Danso,Out,26,Centre-Back,€25.00m,Joined,RC Lens,"End of loan Jun 30, 2025"
Tottenham HotspurArray,Timo Werner,Out,29,Left Winger,€7.00m,Joined,RB Leipzig,"End of loan Jun 30, 2025"
West Ham UnitedArray,Mateus Fernandes,In,21,Central Midfield,€15.00m,Left,Southampton FC,€44.00m
West Ham UnitedArray,Jean-Clair Todibo,In,25,Centre-Back,€25.00m,Left,OGC Nice,€40.00m
West Ham UnitedArray,El Hadji Malick Diouf,In,20,Left-Back,€18.00m,Left,SK Slavia Prague,€22.00m
West Ham UnitedArray,Mads Hermansen,In,25,Goalkeeper,€15.00m,Left,Leicester City,€20.80m
West Ham UnitedArray,Soungoutou Magassa,In,21,Defensive Midfield,€12.00m,Left,AS Monaco,€17.00m
West Ham UnitedArray,Callum Wilson,In,33,Centre-Forward,€8.00m,Left,Newcastle United,free transfer
West Ham UnitedArray,Kyle Walker-Peters,In,28,Right-Back,€15.00m,Left,Southampton FC,free transfer
West Ham UnitedArray,Igor Julio,In,27,Centre-Back,€20.00m,Left,Brighton & Hove Albion,loan transfer
West Ham UnitedArray,Junior Robinson,In,21,Right-Back,-,Left,West Ham United U21,-
West Ham UnitedArray,Kaelan Casey,In,20,Centre-Back,€1.00m,Left,West Ham United U21,-
West Ham UnitedArray,Lukasz Fabianski,In,40,Goalkeeper,€500k,Left,Without Club,-
West Ham UnitedArray,George Earthy,In,20,Attacking Midfield,€2.00m,Left,West Ham United U21,-
West Ham UnitedArray,Freddie Potts,In,21,Defensive Midfield,€1.40m,Left,West Ham United U21,-
West Ham UnitedArray,Callum Marshall,In,20,Centre-Forward,€1.80m,Left,West Ham United U21,-
West Ham UnitedArray,Kaelan Casey,In,21,Centre-Back,€1.00m,Left,Swansea City,"End of loan May 31, 2026"
West Ham UnitedArray,Junior Robinson,In,22,Right-Back,-,Left,Livingston FC,"End of loan May 31, 2026"
West Ham UnitedArray,Maxwel Cornet,In,28,Left Winger,€8.00m,Left,Genoa CFC,"End of loan Jun 30, 2025"
West Ham UnitedArray,Kurt Zouma,In,30,Centre-Back,€10.00m,Left,Al-Orobah FC,"End of loan Jun 30, 2025"
West Ham UnitedArray,Nayef Aguerd,In,29,Centre-Back,€18.00m,Left,Real Sociedad,"End of loan Jun 30, 2025"
West Ham UnitedArray,Mohamadou Kanté,In,19,Defensive Midfield,€200k,Left,Paris FC,"End of loan Jun 30, 2025"
West Ham UnitedArray,Mohammed Kudus,Out,24,Right Winger,€45.00m,Joined,Tottenham Hotspur,€63.80m
West Ham UnitedArray,Nayef Aguerd,Out,29,Centre-Back,€18.00m,Joined,Olympique Marseille,€23.00m
West Ham UnitedArray,Edson Álvarez,Out,27,Defensive Midfield,€25.00m,Joined,Fenerbahce,Loan fee: €2.00m
West Ham UnitedArray,Emerson,Out,31,Left-Back,€10.00m,Joined,Olympique Marseille,€700k
West Ham UnitedArray,Vladimír Coufal,Out,32,Right-Back,€5.00m,Joined,TSG 1899 Hoffenheim,free transfer
West Ham UnitedArray,Danny Ings,Out,33,Centre-Forward,€6.00m,Joined,Sheffield United,free transfer
West Ham UnitedArray,Aaron Cresswell,Out,35,Left-Back,€500k,Joined,Stoke City,free transfer
West Ham UnitedArray,Kurt Zouma,Out,30,Centre-Back,€10.00m,Joined,CFR Cluj,free transfer
West Ham UnitedArray,Wes Foderingham,Out,34,Goalkeeper,€600k,Joined,Aris Limassol,free transfer
West Ham UnitedArray,Kaelan Casey,Out,20,Centre-Back,€1.00m,Joined,Swansea City,loan transfer
West Ham UnitedArray,Maxwel Cornet,Out,28,Left Winger,€8.00m,Joined,Genoa CFC,loan transfer
West Ham UnitedArray,Michail Antonio,Out,35,Centre-Forward,€700k,Joined,West Ham United U21,-
West Ham UnitedArray,Lukasz Fabianski,Out,40,Goalkeeper,€500k,Joined,Without Club,-
West Ham UnitedArray,Junior Robinson,Out,21,Right-Back,-,Joined,Livingston FC,loan transfer
West Ham UnitedArray,Jean-Clair Todibo,Out,25,Centre-Back,€25.00m,Joined,OGC Nice,"End of loan Jun 30, 2025"
West Ham UnitedArray,Evan Ferguson,Out,20,Centre-Forward,€25.00m,Joined,Brighton & Hove Albion,"End of loan Jun 30, 2025"
West Ham UnitedArray,Carlos Soler,Out,28,Central Midfield,€18.00m,Joined,Paris Saint-Germain,"End of loan Jun 30, 2025"
Wolverhampton WanderersArray,Jørgen Strand Larsen,In,25,Centre-Forward,€30.00m,Left,Celta de Vigo,€27.00m
Wolverhampton WanderersArray,Tolu Arokodare,In,24,Centre-Forward,€18.00m,Left,KRC Genk,€26.00m
Wolverhampton WanderersArray,Fer López,In,21,Attacking Midfield,€5.00m,Left,Celta de Vigo,€23.00m
Wolverhampton WanderersArray,Ladislav Krejci,In,26,Centre-Back,€12.00m,Left,Girona FC,Loan fee: €22.50m
Wolverhampton WanderersArray,Jhon Arias,In,27,Right Winger,€17.00m,Left,Fluminense Football Club,€17.00m
Wolverhampton WanderersArray,Jackson Tchatchoua,In,23,Right-Back,€8.00m,Left,Hellas Verona,€12.50m
Wolverhampton WanderersArray,David Møller Wolfe,In,23,Left-Back,€9.00m,Left,AZ Alkmaar,€12.00m
Wolverhampton WanderersArray,Mateus Mané,In,17,Centre-Forward,€200k,Left,Wolverhampton Wanderers U21,-
Wolverhampton WanderersArray,Nasser Djiga,In,23,Centre-Back,€10.00m,Left,Rangers FC,"End of loan May 31, 2026"
Wolverhampton WanderersArray,Chiquinho,In,25,Left Winger,€2.00m,Left,RCD Mallorca,"End of loan Jun 30, 2025"
Wolverhampton WanderersArray,Fábio Silva,In,22,Centre-Forward,€20.00m,Left,UD Las Palmas,"End of loan Jun 30, 2025"
Wolverhampton WanderersArray,Ki-Jana Hoever,In,23,Right-Back,€5.00m,Left,AJ Auxerre,"End of loan Jun 30, 2025"
Wolverhampton WanderersArray,Hugo Bueno,In,22,Left-Back,€8.00m,Left,Feyenoord Rotterdam,"End of loan Jun 30, 2025"
Wolverhampton WanderersArray,Matheus Cunha,Out,26,Second Striker,€60.00m,Joined,Manchester United,€74.20m
Wolverhampton WanderersArray,Rayan Aït-Nouri,Out,24,Left-Back,€35.00m,Joined,Manchester City,€36.80m
Wolverhampton WanderersArray,Fábio Silva,Out,23,Centre-Forward,€20.00m,Joined,Borussia Dortmund,€22.50m
Wolverhampton WanderersArray,Gonçalo Guedes,Out,28,Left Winger,€11.00m,Joined,Real Sociedad,€4.00m
Wolverhampton WanderersArray,Pablo Sarabia,Out,33,Right Winger,€5.00m,Joined,Al-Arabi SC,free transfer
Wolverhampton WanderersArray,Nélson Semedo,Out,31,Right-Back,€9.00m,Joined,Fenerbahce,free transfer
Wolverhampton WanderersArray,Chiquinho,Out,25,Left Winger,€2.00m,Joined,FC Alverca,free transfer
Wolverhampton WanderersArray,Bastien Meupiyou,Out,19,Centre-Back,€2.50m,Joined,FC Alverca,?
Wolverhampton WanderersArray,Joe Hodge,Out,22,Defensive Midfield,€1.00m,Joined,CD Tondela,?
Wolverhampton WanderersArray,Tom King,Out,30,Goalkeeper,€200k,Joined,Everton FC,?
Wolverhampton WanderersArray,Chem Campbell,Out,22,Attacking Midfield,€900k,Joined,Stevenage FC,?
Wolverhampton WanderersArray,Tommy Doyle,Out,23,Central Midfield,€10.00m,Joined,Birmingham City,loan transfer
Wolverhampton WanderersArray,Boubacar Traoré,Out,23,Defensive Midfield,€5.00m,Joined,FC Metz,loan transfer
Wolverhampton WanderersArray,Sasa Kalajdzic,Out,28,Centre-Forward,€4.00m,Joined,LASK,loan transfer
Wolverhampton WanderersArray,Craig Dawson,Out,35,Centre-Back,€1.50m,Joined,Without Club,-
Wolverhampton WanderersArray,Nasser Djiga,Out,22,Centre-Back,€10.00m,Joined,Rangers FC,loan transfer
Wolverhampton WanderersArray,Pedro Lima,Out,19,Right-Back,€5.00m,Joined,FC Porto,loan transfer
Wolverhampton WanderersArray,Jørgen Strand Larsen,Out,25,Centre-Forward,€30.00m,Joined,Celta de Vigo,"End of loan Jun 30, 2025"
Wolverhampton WanderersArray,Carlos Forbs,Out,21,Left Winger,€8.00m,Joined,Ajax Amsterdam,"End of loan Jun 30, 2025"
